carat;cut;cut_ord;color;clarity;clarity_ord
1.22;Premium;4;G;SI1;3
1.01;Good;2;G;VS2;5
0.71;Very Good;3;I;VS2;5
1.01;Ideal;5;D;SI2;2
0.27;Ideal;5;H;VVS2;6
0.52;Premium;4;G;VS1;4
1.01;Premium;4;F;SI1;3
0.59;Ideal;5;D;SI1;3
1.01;Good;2;E;SI1;3
2.03;Ideal;5;F;SI2;2
1.35;Premium;4;H;VS2;5
0.74;Ideal;5;G;SI1;3
0.9;Premium;4;D;SI1;3
0.3;Good;2;G;VS2;5
1.01;Good;2;F;VS2;5
1.02;Good;2;H;SI2;2
2.05;Premium;4;G;SI1;3
0.54;Ideal;5;I;SI1;3
0.72;Ideal;5;G;VS2;5
2;Premium;4;J;SI2;2
1.57;Premium;4;G;SI2;2
0.89;Premium;4;G;SI1;3
0.33;Premium;4;I;VVS2;6
0.3;Very Good;3;G;IF;8
1.79;Very Good;3;I;VS2;5
1.11;Ideal;5;E;SI2;2
0.79;Premium;4;F;SI1;3
0.71;Very Good;3;F;SI1;3
0.73;Ideal;5;G;SI1;3
0.9;Very Good;3;G;VS2;5
1.31;Good;2;I;VS1;4
1.01;Ideal;5;F;SI2;2
0.35;Premium;4;D;SI1;3
0.41;Premium;4;G;VS2;5
0.32;Premium;4;E;VS2;5
0.38;Ideal;5;D;VS1;4
1.21;Premium;4;I;SI2;2
1;Premium;4;F;SI1;3
0.56;Ideal;5;H;VS2;5
1;Good;2;J;SI1;3
0.32;Premium;4;H;VVS1;7
1.7;Ideal;5;D;SI1;3
2.26;Very Good;3;D;SI2;2
0.32;Premium;4;D;VS2;5
0.4;Very Good;3;F;VVS1;7
2.13;Very Good;3;G;SI2;2
0.7;Premium;4;G;VS2;5
2.01;Premium;4;H;SI1;3
1.15;Premium;4;G;SI1;3
0.71;Ideal;5;E;VS1;4
1.35;Premium;4;G;VVS2;6
0.51;Ideal;5;F;SI1;3
0.34;Ideal;5;D;IF;8
1.58;Ideal;5;G;VS1;4
2.05;Good;2;G;SI2;2
0.41;Ideal;5;H;VS1;4
0.6;Fair;1;F;SI1;3
0.31;Ideal;5;H;IF;8
0.64;Very Good;3;D;SI1;3
0.71;Premium;4;J;SI1;3
0.55;Ideal;5;F;VS2;5
1.26;Very Good;3;G;VVS2;6
1.03;Premium;4;G;VS1;4
1.01;Premium;4;H;SI2;2
0.25;Very Good;3;E;VVS2;6
0.9;Premium;4;H;SI1;3
0.45;Premium;4;D;VS1;4
0.3;Ideal;5;F;IF;8
0.9;Good;2;D;SI2;2
0.8;Very Good;3;F;VS2;5
0.33;Premium;4;G;VS1;4
0.71;Ideal;5;G;SI1;3
0.7;Premium;4;D;SI1;3
0.78;Ideal;5;H;SI2;2
0.7;Very Good;3;F;SI2;2
0.38;Ideal;5;F;VVS2;6
0.54;Premium;4;J;VS2;5
0.25;Good;2;E;VVS2;6
2.5;Good;2;J;VS2;5
0.72;Good;2;D;VS1;4
0.41;Ideal;5;E;VS2;5
2.03;Ideal;5;G;SI2;2
1.24;Premium;4;D;SI1;3
0.92;Premium;4;G;SI2;2
1;Fair;1;E;SI2;2
0.57;Ideal;5;F;VS1;4
0.54;Ideal;5;D;SI1;3
1.08;Premium;4;H;SI2;2
0.54;Very Good;3;H;VVS1;7
0.63;Very Good;3;F;VS2;5
1.58;Premium;4;D;SI1;3
0.3;Very Good;3;D;VS2;5
1.56;Ideal;5;G;VVS2;6
0.26;Very Good;3;F;VVS2;6
0.57;Ideal;5;E;VS2;5
0.39;Ideal;5;F;IF;8
1.13;Very Good;3;G;SI2;2
1.09;Ideal;5;H;SI1;3
1.52;Ideal;5;E;SI2;2
1.01;Very Good;3;E;VS1;4
1.21;Premium;4;H;SI2;2
0.5;Ideal;5;H;SI1;3
1.33;Premium;4;E;SI2;2
0.52;Very Good;3;D;VS2;5
0.33;Ideal;5;H;SI2;2
1.06;Premium;4;G;SI2;2
